window,shots,total_xG,mean_xG,median_xG,std_xG,shots_per_game,xG_per_game,window_minutes,shots_per_game_per_window_minute,xG_per_game_per_window_minute,n_games,season,window_label,midpoint_s,idx_shots_per_game_per_window_minute,idx_mean_xG,idx_xG_per_game_per_window_minute
0,1015,61.20358693,0.06029910042364532,0.0307731,0.08415279094473019,1.7652173913043478,0.10644102074782609,5.0,0.35304347826086957,0.02128820414956522,575,2014-15,0–5 min,150.0,1.0,1.0,1.0
1,1069,66.32793235,0.06204670940130963,0.0306823,0.09201102549667099,1.8591304347826088,0.11535292582608696,5.0,0.37182608695652175,0.023070585165217393,575,2014-15,5–10 min,450.0,1.0532019704433497,1.0289823391292088,1.08372622712229
2,1023,66.21522682,0.06472651693059628,0.0315229,0.09348587430672418,1.7791304347826087,0.11515691620869564,5.0,0.35582608695652174,0.023031383241739128,575,2014-15,10–15 min,750.0,1.0078817733990149,1.0734242546878,1.0818847414242554
3,779,53.95734241,0.06926488114249038,0.0383825,0.08829605709655439,1.3547826086956523,0.0938388563652174,3.5,0.3870807453416149,0.026811101818633543,575,2014-15,15–18:30 min,1005.0,1.0964109781843772,1.148688465596566,1.259434644193842
0,1236,70.4907245,0.05703133050161812,0.028313949999999997,0.07748126756185848,1.9839486356340288,0.11314723033707864,5.0,0.39678972712680577,0.02262944606741573,623,2015-16,0–5 min,150.0,1.0,1.0,1.0
1,1240,70.26017665,0.05666143278225807,0.02842795,0.0797360233186136,1.9903691813804174,0.11277716958266454,5.0,0.3980738362760835,0.02255543391653291,623,2015-16,5–10 min,450.0,1.0032362459546926,0.9935141313361161,0.9967293874245825
2,1259,78.20045215,0.062113147061159654,0.0305496,0.09747862688748858,2.0208667736757624,0.12552239510433388,5.0,0.4041733547351525,0.025104479020866776,623,2015-16,10–15 min,750.0,1.0186084142394822,1.0891056988298273,1.1093722288242336
3,970,75.42824655,0.07776107891752577,0.04026835,0.11270694016855619,1.5569823434991974,0.1210726268860353,3.5,0.4448520981426278,0.0345921791102958,623,2015-16,15–18:30 min,1005.0,1.1211280628756357,1.3634800071045072,1.528635699134734
0,1002,61.08084207,0.06095892422155689,0.03274915,0.09020425185539573,1.6954314720812182,0.10335167862944163,5.0,0.33908629441624366,0.020670335725888327,591,2016-17,0–5 min,150.0,1.0,1.0,1.0
1,1073,68.17319918,0.06353513437092265,0.0284098,0.09661887627631478,1.8155668358714043,0.11535228287648054,5.0,0.3631133671742809,0.02307045657529611,591,2016-17,5–10 min,450.0,1.0708582834331337,1.0422614109790136,1.1161142654495824
2,1042,66.72513107,0.06403563442418427,0.031306150000000005,0.087719574544833,1.763113367174281,0.11290208302876481,5.0,0.3526226734348562,0.02258041660575296,591,2016-17,10–15 min,750.0,1.039920159680639,1.0504718585821,1.0924068629167147
