bin,n,mean_xG,se_sq,midpoint,label
0,1444,0.05861451468836565,5.483470781019701e-06,30.0,early
1,1863,0.056765323789586694,3.7775543632068596e-06,90.0,early
2,1775,0.0633535123943662,5.564109155841573e-06,150.0,early
3,1916,0.061655909112734865,5.687489170942395e-06,210.0,early
4,1839,0.06223236955410549,4.153030455768198e-06,270.0,early
5,1847,0.058311541689225775,3.5150377289611027e-06,330.0,early
6,1844,0.05942814362798265,3.806562398590972e-06,390.0,early
7,1753,0.06277573085567598,5.43184266144968e-06,450.0,early
8,1770,0.06187946418644068,4.98780673150486e-06,510.0,early
9,1799,0.06098302844913841,4.804291585110651e-06,570.0,early
10,1747,0.06385516856897538,4.837245959128641e-06,630.0,early
11,1787,0.05855607288192502,3.6200673591615293e-06,690.0,early
12,1731,0.06391979671865973,6.568949843497603e-06,750.0,early
13,1691,0.061570331845062096,5.857381174157323e-06,810.0,early
14,1779,0.06446262941540191,5.302073189497283e-06,870.0,early
15,1750,0.060995315554285716,6.711427714555191e-06,930.0,early
16,1814,0.06754379721609702,6.84241885898487e-06,990.0,early
17,1992,0.08691667026104417,8.105667635496927e-06,1050.0,early
18,1111,0.09897332431143115,1.755276782818152e-05,1095.0,early
