bin,n,mean_xG,se_sq,midpoint,label
0,467,0.0641556285653105,1.7087045587646872e-05,30.0,recent
1,544,0.0656613809375,1.9104163035776677e-05,90.0,recent
2,522,0.06303544772030652,1.2676539144772574e-05,150.0,recent
3,576,0.06897547270833333,1.562242626623811e-05,210.0,recent
4,516,0.06580409321705427,1.5902747261922663e-05,270.0,recent
5,540,0.06599077714814815,1.9224114741618212e-05,330.0,recent
6,556,0.06966361282374102,2.7077116836459495e-05,390.0,recent
7,507,0.07001058481262327,2.024218383764772e-05,450.0,recent
8,540,0.06713285212962962,2.0182662301195523e-05,510.0,recent
9,558,0.07093859625448029,1.7202649779544483e-05,570.0,recent
10,520,0.061401923576923076,1.6091715098525563e-05,630.0,recent
11,513,0.06665694356725146,2.0301703862893514e-05,690.0,recent
12,466,0.07298500515021458,2.148350674746614e-05,750.0,recent
13,534,0.06445389891385768,1.87817160882984e-05,810.0,recent
14,536,0.07013747697761194,4.442696237993798e-05,870.0,recent
15,541,0.06931006203327171,2.6505216221362932e-05,930.0,recent
16,506,0.08628378077075098,3.4036820624089905e-05,990.0,recent
17,572,0.1015754384965035,2.6686205644758527e-05,1050.0,recent
18,328,0.13054611134146343,9.395675719972684e-05,1095.0,recent
