bin,n,mean_xG,se_sq,midpoint,label
0,207,0.0750845597584541,6.215496044883326e-05,30.0,validate
1,244,0.07207075233606557,3.588387921633946e-05,90.0,validate
2,259,0.0576887383011583,3.3029775644702274e-05,150.0,validate
3,272,0.06929337529411765,2.688151699232987e-05,210.0,validate
4,267,0.06763243831460675,2.70575747896542e-05,270.0,validate
5,261,0.0559649474329502,2.10905709799232e-05,330.0,validate
6,229,0.06304134231441048,2.994454886372266e-05,390.0,validate
7,270,0.06846184274074074,6.257582808882466e-05,450.0,validate
8,274,0.05617311835766423,2.085585963201821e-05,510.0,validate
9,284,0.0711949025,4.641550565565368e-05,570.0,validate
10,242,0.06765995739669421,5.435640823044787e-05,630.0,validate
11,282,0.05976918092198582,2.6186007991551194e-05,690.0,validate
12,260,0.07684909369230769,4.8195983754778094e-05,750.0,validate
13,243,0.0594116570781893,2.6755403427464277e-05,810.0,validate
14,262,0.07655879370229007,5.018166624888915e-05,870.0,validate
15,244,0.06836950897540985,4.882387500482267e-05,930.0,validate
16,282,0.09431454138297872,6.768872548919477e-05,990.0,validate
17,351,0.10618343037037037,5.677731961553444e-05,1050.0,validate
18,176,0.10269279244318183,7.244325094368976e-05,1095.0,validate
