bin,n,mean_xG,var_xG,midpoint,se_sq,label
"[0, 60)",420,0.068891,0.010944,30.000000,0.000026,training
"[60, 120)",508,0.069948,0.010294,90.000000,0.000020,training
"[120, 180)",529,0.057240,0.005467,150.000000,0.000010,training
"[180, 240)",559,0.068077,0.007399,210.000000,0.000013,training
"[240, 300)",539,0.064932,0.006000,270.000000,0.000011,training
"[300, 360)",554,0.062769,0.007107,330.000000,0.000013,training
"[360, 420)",515,0.066244,0.010413,390.000000,0.000020,training
"[420, 480)",519,0.071213,0.010943,450.000000,0.000021,training
"[480, 540)",530,0.059557,0.006342,510.000000,0.000012,training
"[540, 600)",587,0.069033,0.008806,570.000000,0.000015,training
"[600, 660)",503,0.061332,0.007638,630.000000,0.000015,training
"[660, 720)",548,0.065796,0.009435,690.000000,0.000017,training
"[720, 780)",518,0.075032,0.011739,750.000000,0.000023,training
"[780, 840)",525,0.060070,0.007213,810.000000,0.000014,training
"[840, 900)",572,0.067083,0.009498,870.000000,0.000017,training
"[900, 960)",518,0.071925,0.011293,930.000000,0.000022,training
"[960, 1020)",581,0.090667,0.015585,990.000000,0.000027,training
"[1020, 1080)",688,0.107997,0.017120,1050.000000,0.000025,training
"[1080, 1140)",356,0.120303,0.019976,1110.000000,0.000056,training
