time_s,mu,std,ci_lo,ci_hi
0.000000,0.070211,0.007797,0.054928,0.085494
2.224449,0.070131,0.007701,0.055037,0.085226
4.448898,0.070050,0.007608,0.055138,0.084962
6.673347,0.069968,0.007518,0.055233,0.084704
8.897796,0.069886,0.007431,0.055320,0.084451
11.122244,0.069802,0.007347,0.055401,0.084202
13.346693,0.069717,0.007267,0.055474,0.083959
15.571142,0.069631,0.007189,0.055540,0.083721
17.795591,0.069544,0.007115,0.055599,0.083489
20.020040,0.069456,0.007044,0.055650,0.083262
22.244489,0.069367,0.006976,0.055694,0.083040
24.468938,0.069277,0.006911,0.055731,0.082823
26.693387,0.069186,0.006850,0.055760,0.082612
28.917836,0.069094,0.006792,0.055783,0.082406
31.142285,0.069002,0.006736,0.055798,0.082205
33.366733,0.068908,0.006684,0.055807,0.082010
35.591182,0.068814,0.006635,0.055809,0.081820
37.815631,0.068719,0.006589,0.055804,0.081634
40.040080,0.068623,0.006546,0.055793,0.081454
42.264529,0.068527,0.006506,0.055775,0.081278
44.488978,0.068429,0.006468,0.055752,0.081107
46.713427,0.068331,0.006433,0.055722,0.080940
48.937876,0.068232,0.006401,0.055687,0.080778
51.162325,0.068133,0.006371,0.055647,0.080619
53.386774,0.068033,0.006343,0.055601,0.080465
55.611222,0.067933,0.006317,0.055551,0.080315
57.835671,0.067832,0.006294,0.055496,0.080168
60.060120,0.067730,0.006272,0.055436,0.080024
62.284569,0.067629,0.006253,0.055373,0.079884
64.509018,0.067526,0.006235,0.055306,0.079747
66.733467,0.067424,0.006219,0.055235,0.079613
68.957916,0.067321,0.006204,0.055161,0.079482
71.182365,0.067218,0.006191,0.055084,0.079353
73.406814,0.067116,0.006180,0.055004,0.079228
75.631263,0.067013,0.006169,0.054921,0.079104
77.855711,0.066910,0.006160,0.054836,0.078983
80.080160,0.066807,0.006152,0.054749,0.078865
82.304609,0.066704,0.006145,0.054661,0.078748
84.529058,0.066602,0.006139,0.054571,0.078634
86.753507,0.066500,0.006133,0.054479,0.078521
88.977956,0.066399,0.006129,0.054387,0.078411
91.202405,0.066298,0.006125,0.054294,0.078303
93.426854,0.066198,0.006122,0.054200,0.078196
95.651303,0.066099,0.006119,0.054106,0.078092
97.875752,0.066000,0.006117,0.054011,0.077989
100.100200,0.065903,0.006115,0.053917,0.077888
102.324649,0.065806,0.006114,0.053824,0.077789
104.549098,0.065711,0.006113,0.053730,0.077692
106.773547,0.065618,0.006112,0.053638,0.077597
108.997996,0.065526,0.006112,0.053547,0.077504
111.222445,0.065435,0.006111,0.053457,0.077413
113.446894,0.065346,0.006111,0.053368,0.077324
115.671343,0.065259,0.006111,0.053281,0.077237
117.895792,0.065174,0.006111,0.053196,0.077153
120.120240,0.065091,0.006112,0.053113,0.077070
122.344689,0.065011,0.006112,0.053032,0.076990
124.569138,0.064932,0.006112,0.052953,0.076912
126.793587,0.064857,0.006112,0.052876,0.076837
129.018036,0.064783,0.006113,0.052802,0.076764
131.242485,0.064712,0.006113,0.052731,0.076694
133.466934,0.064644,0.006113,0.052663,0.076626
135.691383,0.064579,0.006113,0.052597,0.076561
137.915832,0.064517,0.006114,0.052534,0.076499
140.140281,0.064457,0.006114,0.052475,0.076440
142.364729,0.064401,0.006114,0.052418,0.076384
144.589178,0.064347,0.006114,0.052364,0.076331
146.813627,0.064297,0.006114,0.052314,0.076280
149.038076,0.064250,0.006114,0.052267,0.076233
151.262525,0.064206,0.006114,0.052223,0.076189
153.486974,0.064165,0.006114,0.052182,0.076147
155.711423,0.064127,0.006113,0.052145,0.076109
157.935872,0.064092,0.006113,0.052110,0.076074
