game_id,season,time_elapsed_in_period,xGoal,score_diff,time_bin
20007,2014,38,0.00451063,-2,0–5 min
20007,2014,46,0.0045625,-2,0–5 min
20007,2014,61,0.287657,-2,0–5 min
20007,2014,1110,0.0724162,-2,15–20 min
20007,2014,1160,0.186603,-2,15–20 min
20012,2014,643,0.0167955,-2,10–15 min
20012,2014,661,0.0461808,-2,10–15 min
20012,2014,683,0.00980237,-2,10–15 min
20012,2014,760,0.17161,-2,10–15 min
20012,2014,818,0.0171332,-2,10–15 min
20012,2014,828,0.578089,-2,10–15 min
20023,2014,25,0.0176271,-2,0–5 min
20023,2014,86,0.0261971,-2,0–5 min
20023,2014,91,0.0246078,-2,0–5 min
20023,2014,131,0.0953952,-2,0–5 min
20023,2014,136,0.0553516,-2,0–5 min
20023,2014,151,0.0116354,-2,0–5 min
20023,2014,243,0.0457664,-2,0–5 min
20023,2014,265,0.102568,-2,0–5 min
20023,2014,270,0.101521,-2,0–5 min
20023,2014,339,0.286592,-2,5–10 min
20023,2014,345,0.0305579,-2,5–10 min
20023,2014,352,0.0322064,-2,5–10 min
20023,2014,407,0.071031,-2,5–10 min
20023,2014,492,0.0833717,-2,5–10 min
20023,2014,633,0.0270642,-2,10–15 min
20023,2014,681,0.0132948,-2,10–15 min
20023,2014,707,0.0137361,-2,10–15 min
20023,2014,788,0.0176004,-2,10–15 min
20023,2014,816,0.0528503,-2,10–15 min
20023,2014,830,0.090303,-2,10–15 min
20023,2014,841,0.145763,-2,10–15 min
20024,2014,443,0.0514466,-2,5–10 min
20024,2014,462,0.0509803,-2,5–10 min
20024,2014,464,0.199028,-2,5–10 min
20024,2014,515,0.122657,-2,5–10 min
20024,2014,552,0.097255,-2,5–10 min
20025,2014,76,0.0046327,-2,0–5 min
20025,2014,183,0.158633,-2,0–5 min
20025,2014,315,0.0274505,-2,5–10 min
20025,2014,365,0.0701968,-2,5–10 min
20025,2014,371,0.0306429,-2,5–10 min
20025,2014,444,0.0378644,-2,5–10 min
20025,2014,548,0.00753636,-2,5–10 min
20025,2014,582,0.0261588,-2,5–10 min
20025,2014,620,0.0169502,-2,10–15 min
20025,2014,716,0.0582005,-2,10–15 min
20025,2014,717,0.0921447,-2,10–15 min
20025,2014,775,0.0835932,-2,10–15 min
20025,2014,803,0.0224414,-2,10–15 min
20025,2014,826,0.0160764,-2,10–15 min
20025,2014,827,0.129876,-2,10–15 min
